timestamp,node_id,tilt_deg,vib_rms,vib_dom_freq_hz,strain_mm,crack_proxy,temp_c,lat,lng
2026-03-01 00:00:00,N04,0.1385,0.005477,5.03,0.0001,0.000569,25.9,23.764694,86.411364
2026-03-01 01:00:00,N04,-0.1681,0.005632,2.65,0.0006,0.00028,26.1,23.764694,86.411364
2026-03-01 02:00:00,N04,-0.1342,0.006696,1.12,0.0006,5e-05,26.9,23.764694,86.411364
2026-03-01 03:00:00,N04,0.2222,0.006645,3.53,0.0005,0.000385,28.1,23.764694,86.411364
2026-03-01 04:00:00,N04,-0.13,0.008258,3.31,-0.0002,0.000291,29.6,23.764694,86.411364
2026-03-01 05:00:00,N04,0.3587,0.00806,6.02,-0.0001,0.000143,31.4,23.764694,86.411364
2026-03-01 06:00:00,N04,0.1679,0.005562,7.36,-0.0004,0.000184,33.4,23.764694,86.411364
2026-03-01 07:00:00,N04,-0.1216,0.008623,9.84,-0.0004,0.009212,35.3,23.764694,86.411364
2026-03-01 08:00:00,N04,-0.1029,0.969589,36.62,-0.0189,0.009125,37.1,23.764694,86.411364
2026-03-01 09:00:00,N04,-0.4148,0.910627,23.17,-0.0187,0.009611,38.7,23.764694,86.411364
2026-03-01 10:00:00,N04,0.3453,0.005325,4.81,0.0004,0.009313,39.9,23.764694,86.411364
2026-03-01 11:00:00,N04,0.1211,0.007118,3.19,-0.0,9.2e-05,40.6,23.764694,86.411364
2026-03-01 12:00:00,N04,-0.2465,0.006704,1.71,0.0002,0.000105,40.9,23.764694,86.411364
2026-03-01 13:00:00,N04,0.1187,0.005139,1.5,0.0002,0.000141,40.6,23.764694,86.411364
2026-03-01 14:00:00,N04,0.1588,0.008338,2.86,-0.0001,1.3e-05,39.9,23.764694,86.411364
2026-03-01 15:00:00,N04,0.1227,0.005562,4.8,0.0001,0.00012,38.7,23.764694,86.411364
2026-03-01 16:00:00,N04,,,,,,,23.764694,86.411364
2026-03-01 17:00:00,N04,,,,,,,23.764694,86.411364
2026-03-01 18:00:00,N04,,,,,,,23.764694,86.411364
